Region,Suburb,Crime,Year,Quarter,Number,Rate
Belconnen,Aranda,Other,2016,Q1,19,7.764609726195341
Belconnen,Aranda,CINs,2016,Q1,0,0.0
Belconnen,Aranda,Homicide,2016,Q2,0,0.0
Belconnen,Aranda,Family Violence,2016,Q2,0,0.0
Belconnen,Aranda,Assault,2016,Q2,1,0.40866366979975477
Belconnen,Aranda,Sexual Assault,2016,Q2,0,0.0
Belconnen,Aranda,Property Damage,2016,Q2,2,0.8173273395995095
Belconnen,Aranda,Other,2016,Q2,17,6.947282386595831
Belconnen,Aranda,CINs,2016,Q2,0,0.0
Belconnen,Aranda,Homicide,2016,Q3,0,0.0
Belconnen,Aranda,Family Violence,2016,Q3,5,2.043318348998774
Belconnen,Aranda,Assault,2016,Q3,0,0.0
Belconnen,Aranda,Sexual Assault,2016,Q3,0,0.0
Belconnen,Aranda,Property Damage,2016,Q3,1,0.40866366979975477
Belconnen,Aranda,Other,2016,Q3,25,10.21659174499387
Belconnen,Aranda,CINs,2016,Q3,0,0.0
Belconnen,Aranda,Homicide,2016,Q4,0,0.0
Belconnen,Aranda,Family Violence,2016,Q4,1,0.40866366979975477
Belconnen,Aranda,Assault,2016,Q4,3,1.2259910093992643
Belconnen,Aranda,Sexual Assault,2016,Q4,0,0.0
Belconnen,Aranda,Property Damage,2016,Q4,9,3.677973028197793
Belconnen,Aranda,Other,2016,Q4,21,8.58193706579485
Belconnen,Aranda,CINs,2016,Q4,0,0.0
Belconnen,Aranda,Burglary,2016,Q1,2,0.8173273395995095
Belconnen,Aranda,Burglary,2016,Q2,1,0.40866366979975477
Belconnen,Aranda,Burglary,2016,Q3,2,0.8173273395995095
Belconnen,Aranda,Burglary,2016,Q4,3,1.2259910093992643
Belconnen,Aranda,Robbery,2016,Q1,0,0.0
Belconnen,Aranda,Robbery,2016,Q2,1,0.40866366979975477
Belconnen,Aranda,Robbery,2016,Q3,0,0.0
Belconnen,Aranda,Robbery,2016,Q4,0,0.0
Belconnen,Aranda,Theft,2016,Q1,3,1.2259910093992643
Belconnen,Aranda,Theft,2016,Q2,13,5.312627707396812
Belconnen,Aranda,Theft,2016,Q3,4,1.634654679199019
Belconnen,Aranda,Theft,2016,Q4,5,2.043318348998774
Belconnen,Aranda,Other,2016,Q1,19,7.764609726195341
Belconnen,Aranda,Other,2016,Q2,17,6.947282386595831
Belconnen,Aranda,Other,2016,Q3,25,10.21659174499387
Belconnen,Aranda,Other,2016,Q4,21,8.58193706579485
Belconnen,Aranda,TINs,2016,Q1,87,35.55373927257867
Belconnen,Aranda,TINs,2016,Q2,64,26.154474867184305
Belconnen,Aranda,TINs,2016,Q3,117,47.81364936657131
Belconnen,Aranda,TINs,2016,Q4,95,38.82304863097671
Belconnen,Aranda,Homicide,2017,Q1,0,0.0
Belconnen,Aranda,Family Violence,2017,Q1,0,0.0
Belconnen,Aranda,Assault,2017,Q1,0,0.0
Belconnen,Aranda,Sexual Assault,2017,Q1,0,0.0
Belconnen,Aranda,Property Damage,2017,Q1,10,4.024144869215292
Belconnen,Aranda,Other,2017,Q1,19,7.645875251509055
Belconnen,Aranda,CINs,2017,Q1,0,0.0
Belconnen,Aranda,Homicide,2017,Q2,0,0.0
Belconnen,Aranda,Family Violence,2017,Q2,1,0.4024144869215292
Belconnen,Aranda,Assault,2017,Q2,0,0.0
Belconnen,Aranda,Sexual Assault,2017,Q2,0,0.0
Belconnen,Aranda,Property Damage,2017,Q2,9,3.6217303822937628
Belconnen,Aranda,Other,2017,Q2,32,12.877263581488934
Belconnen,Aranda,CINs,2017,Q2,0,0.0
Belconnen,Aranda,Homicide,2017,Q3,0,0.0
Belconnen,Aranda,Family Violence,2017,Q3,1,0.4024144869215292
Belconnen,Aranda,Assault,2017,Q3,1,0.4024144869215292
Belconnen,Aranda,Sexual Assault,2017,Q3,0,0.0
Belconnen,Aranda,Property Damage,2017,Q3,0,0.0
Belconnen,Aranda,Other,2017,Q3,20,8.048289738430585
Belconnen,Aranda,CINs,2017,Q3,0,0.0
Belconnen,Aranda,Homicide,2017,Q4,0,0.0
Belconnen,Aranda,Family Violence,2017,Q4,3,1.2072434607645877
Belconnen,Aranda,Assault,2017,Q4,2,0.8048289738430584
Belconnen,Aranda,Sexual Assault,2017,Q4,0,0.0
Belconnen,Aranda,Property Damage,2017,Q4,7,2.8169014084507045
Belconnen,Aranda,Other,2017,Q4,37,14.88933601609658
Belconnen,Aranda,CINs,2017,Q4,0,0.0
Belconnen,Aranda,Burglary,2017,Q1,5,2.012072434607646
Belconnen,Aranda,Burglary,2017,Q2,0,0.0
Belconnen,Aranda,Burglary,2017,Q3,3,1.2072434607645877
Belconnen,Aranda,Burglary,2017,Q4,10,4.024144869215292
Belconnen,Aranda,Robbery,2017,Q1,0,0.0
Belconnen,Aranda,Robbery,2017,Q2,0,0.0
Belconnen,Aranda,Robbery,2017,Q3,0,0.0
Belconnen,Aranda,Robbery,2017,Q4,1,0.4024144869215292
Belconnen,Aranda,Theft,2017,Q1,10,4.024144869215292
Belconnen,Aranda,Theft,2017,Q2,6,2.4144869215291753
Belconnen,Aranda,Theft,2017,Q3,7,2.8169014084507045
Belconnen,Aranda,Theft,2017,Q4,16,6.438631790744467
Belconnen,Aranda,Other,2017,Q1,20,8.048289738430585
Belconnen,Aranda,Other,2017,Q2,32,12.877263581488934
Belconnen,Aranda,Other,2017,Q3,20,8.048289738430585
Belconnen,Aranda,Other,2017,Q4,38,15.29175050301811
Belconnen,Aranda,TINs,2017,Q1,83,33.400402414486926
Belconnen,Aranda,TINs,2017,Q2,107,43.058350100603626
Belconnen,Aranda,TINs,2017,Q3,117,47.08249496981892
Belconnen,Aranda,TINs,2017,Q4,191,76.86116700201208
Belconnen,Aranda,Homicide,2018,Q1,0,0.0
Belconnen,Aranda,Family Violence,2018,Q1,1,0.39968025579536376
Belconnen,Aranda,Assault,2018,Q1,0,0.0
Belconnen,Aranda,Sexual Assault,2018,Q1,0,0.0
Belconnen,Aranda,Property Damage,2018,Q1,1,0.39968025579536376
Belconnen,Aranda,Other,2018,Q1,23,9.192645883293366
Belconnen,Aranda,CINs,2018,Q1,0,0.0
Belconnen,Aranda,Homicide,2018,Q2,0,0.0
Belconnen,Aranda,Family Violence,2018,Q2,3,1.1990407673860912
Belconnen,Aranda,Assault,2018,Q2,0,0.0
Belconnen,Aranda,Sexual Assault,2018,Q2,2,0.7993605115907275
Belconnen,Aranda,Property Damage,2018,Q2,5,1.9984012789768186
Belconnen,Aranda,Other,2018,Q2,27,10.79136690647482
Belconnen,Aranda,CINs,2018,Q2,0,0.0
Belconnen,Aranda,Homicide,2018,Q3,0,0.0
Belconnen,Aranda,Family Violence,2018,Q3,0,0.0
Belconnen,Aranda,Assault,2018,Q3,1,0.39968025579536376
Belconnen,Aranda,Sexual Assault,2018,Q3,0,0.0
Belconnen,Aranda,Property Damage,2018,Q3,1,0.39968025579536376
Belconnen,Aranda,Other,2018,Q3,22,8.792965627498003
Belconnen,Aranda,CINs,2018,Q3,0,0.0
Belconnen,Aranda,Homicide,2018,Q4,0,0.0
Belconnen,Aranda,Family Violence,2018,Q4,0,0.0
Belconnen,Aranda,Assault,2018,Q4,2,0.7993605115907275
Belconnen,Aranda,Sexual Assault,2018,Q4,0,0.0
Belconnen,Aranda,Property Damage,2018,Q4,2,0.7993605115907275
Belconnen,Aranda,Other,2018,Q4,29,11.590727418065548
Belconnen,Aranda,CINs,2018,Q4,0,0.0
Belconnen,Aranda,Burglary,2018,Q1,2,0.7993605115907275
Belconnen,Aranda,Burglary,2018,Q2,0,0.0
Belconnen,Aranda,Burglary,2018,Q3,3,1.1990407673860912
Belconnen,Aranda,Burglary,2018,Q4,1,0.39968025579536376
Belconnen,Aranda,Robbery,2018,Q1,0,0.0
Belconnen,Aranda,Robbery,2018,Q2,0,0.0
Belconnen,Aranda,Robbery,2018,Q3,0,0.0
Belconnen,Aranda,Robbery,2018,Q4,0,0.0
Belconnen,Aranda,Theft,2018,Q1,2,0.7993605115907275
Belconnen,Aranda,Theft,2018,Q2,7,2.797761790567546
Belconnen,Aranda,Theft,2018,Q3,6,2.3980815347721824
Belconnen,Aranda,Theft,2018,Q4,10,3.9968025579536373
Belconnen,Aranda,Other,2018,Q1,23,9.192645883293366
Belconnen,Aranda,Other,2018,Q2,28,11.191047162270184
Belconnen,Aranda,Other,2018,Q3,22,8.792965627498003
Belconnen,Aranda,Other,2018,Q4,30,11.990407673860913
Belconnen,Aranda,TINs,2018,Q1,117,46.76258992805756
Belconnen,Aranda,TINs,2018,Q2,97,38.768984812150286
Belconnen,Aranda,TINs,2018,Q3,148,59.15267785771383
Belconnen,Aranda,TINs,2018,Q4,102,40.7673860911271
Belconnen,Aranda,Homicide,2019,Q1,0,0.0
Belconnen,Aranda,Family Violence,2019,Q1,3,1.179245283018868
Belconnen,Aranda,Assault,2019,Q1,1,0.3930817610062893
Belconnen,Aranda,Sexual Assault,2019,Q1,0,0.0
Belconnen,Aranda,Property Damage,2019,Q1,3,1.179245283018868
Belconnen,Aranda,Other,2019,Q1,24,9.433962264150944
Belconnen,Aranda,CINs,2019,Q1,0,0.0
Belconnen,Aranda,Homicide,2019,Q2,0,0.0
Belconnen,Aranda,Family Violence,2019,Q2,0,0.0
Belconnen,Aranda,Assault,2019,Q2,2,0.7861635220125786
Belconnen,Aranda,Sexual Assault,2019,Q2,0,0.0
Belconnen,Aranda,Property Damage,2019,Q2,3,1.179245283018868
Belconnen,Aranda,Other,2019,Q2,28,11.0062893081761
Belconnen,Aranda,CINs,2019,Q2,0,0.0
Belconnen,Aranda,Homicide,2019,Q3,0,0.0
Belconnen,Aranda,Family Violence,2019,Q3,0,0.0
Belconnen,Aranda,Assault,2019,Q3,1,0.3930817610062893
Belconnen,Aranda,Sexual Assault,2019,Q3,0,0.0
Belconnen,Aranda,Property Damage,2019,Q3,1,0.3930817610062893
Belconnen,Aranda,Other,2019,Q3,36,14.150943396226415
Belconnen,Aranda,CINs,2019,Q3,0,0.0
Belconnen,Aranda,Homicide,2019,Q4,0,0.0
Belconnen,Aranda,Family Violence,2019,Q4,0,0.0
Belconnen,Aranda,Assault,2019,Q4,1,0.3930817610062893
Belconnen,Aranda,Sexual Assault,2019,Q4,2,0.7861635220125786
Belconnen,Aranda,Property Damage,2019,Q4,4,1.572327044025157
Belconnen,Aranda,Other,2019,Q4,43,16.90251572327044
Belconnen,Aranda,CINs,2019,Q4,0,0.0
Belconnen,Aranda,Burglary,2019,Q1,2,0.7861635220125786
Belconnen,Aranda,Burglary,2019,Q2,1,0.3930817610062893
Belconnen,Aranda,Burglary,2019,Q3,3,1.179245283018868
Belconnen,Aranda,Burglary,2019,Q4,2,0.7861635220125786
Belconnen,Aranda,Robbery,2019,Q1,0,0.0
Belconnen,Aranda,Robbery,2019,Q2,0,0.0
Belconnen,Aranda,Robbery,2019,Q3,0,0.0
Belconnen,Aranda,Robbery,2019,Q4,0,0.0
Belconnen,Aranda,Theft,2019,Q1,7,2.751572327044025
Belconnen,Aranda,Theft,2019,Q2,7,2.751572327044025
Belconnen,Aranda,Theft,2019,Q3,8,3.144654088050314
Belconnen,Aranda,Theft,2019,Q4,10,3.930817610062893
Belconnen,Aranda,Other,2019,Q1,24,9.433962264150944
Belconnen,Aranda,Other,2019,Q2,28,11.0062893081761
Belconnen,Aranda,Other,2019,Q3,36,14.150943396226415
Belconnen,Aranda,Other,2019,Q4,44,17.29559748427673
Belconnen,Aranda,TINs,2019,Q1,58,22.79874213836478
Belconnen,Aranda,TINs,2019,Q2,68,26.729559748427672
Belconnen,Aranda,TINs,2019,Q3,70,27.51572327044025
Belconnen,Aranda,TINs,2019,Q4,74,29.08805031446541
Belconnen,Aranda,Homicide,2020,Q1,0,0.0
Belconnen,Aranda,Family Violence,2020,Q1,1,0.3863987635239567
Belconnen,Aranda,Assault,2020,Q1,0,0.0
Belconnen,Aranda,Sexual Assault,2020,Q1,0,0.0
Belconnen,Aranda,Property Damage,2020,Q1,6,2.3183925811437405
Belconnen,Aranda,Other,2020,Q1,17,6.568778979907264
Belconnen,Aranda,CINs,2020,Q1,0,0.0
Belconnen,Aranda,Homicide,2020,Q2,0,0.0
Belconnen,Aranda,Family Violence,2020,Q2,0,0.0
Belconnen,Aranda,Assault,2020,Q2,1,0.3863987635239567
Belconnen,Aranda,Sexual Assault,2020,Q2,1,0.3863987635239567
Belconnen,Aranda,Property Damage,2020,Q2,1,0.3863987635239567
Belconnen,Aranda,Other,2020,Q2,28,10.819165378670787
Belconnen,Aranda,CINs,2020,Q2,0,0.0
Belconnen,Aranda,Homicide,2020,Q3,0,0.0
Belconnen,Aranda,Family Violence,2020,Q3,2,0.7727975270479134
Belconnen,Aranda,Assault,2020,Q3,9,3.4775888717156103
Belconnen,Aranda,Sexual Assault,2020,Q3,0,0.0
Belconnen,Aranda,Property Damage,2020,Q3,0,0.0
Belconnen,Aranda,Other,2020,Q3,19,7.341576506955177
Belconnen,Aranda,CINs,2020,Q3,0,0.0
Belconnen,Aranda,Homicide,2020,Q4,0,0.0
Belconnen,Aranda,Family Violence,2020,Q4,1,0.3863987635239567
Belconnen,Aranda,Assault,2020,Q4,7,2.7047913446676968
Belconnen,Aranda,Sexual Assault,2020,Q4,1,0.3863987635239567
Belconnen,Aranda,Property Damage,2020,Q4,8,3.0911901081916535
Belconnen,Aranda,Other,2020,Q4,40,15.455950540958268
Belconnen,Aranda,CINs,2020,Q4,0,0.0
Belconnen,Aranda,Burglary,2020,Q1,4,1.5455950540958268
Belconnen,Aranda,Burglary,2020,Q2,5,1.9319938176197835
Belconnen,Aranda,Burglary,2020,Q3,1,0.3863987635239567
Belconnen,Aranda,Burglary,2020,Q4,5,1.9319938176197835
Belconnen,Aranda,Robbery,2020,Q1,0,0.0
Belconnen,Aranda,Robbery,2020,Q2,0,0.0
Belconnen,Aranda,Robbery,2020,Q3,0,0.0
Belconnen,Aranda,Robbery,2020,Q4,0,0.0
Belconnen,Aranda,Theft,2020,Q1,8,3.0911901081916535
Belconnen,Aranda,Theft,2020,Q2,6,2.3183925811437405
Belconnen,Aranda,Theft,2020,Q3,3,1.1591962905718702
Belconnen,Aranda,Theft,2020,Q4,9,3.4775888717156103
Belconnen,Aranda,Other,2020,Q1,17,6.568778979907264
Belconnen,Aranda,Other,2020,Q2,28,10.819165378670787
Belconnen,Aranda,Other,2020,Q3,20,7.727975270479134
Belconnen,Aranda,Other,2020,Q4,40,15.455950540958268
Belconnen,Aranda,TINs,2020,Q1,87,33.61669242658424
Belconnen,Aranda,TINs,2020,Q2,131,50.61823802163833
Belconnen,Aranda,TINs,2020,Q3,127,49.0726429675425
Belconnen,Aranda,TINs,2020,Q4,211,81.53013910355487
Belconnen,Aranda,Homicide,2021,Q1,0,0.0
Belconnen,Aranda,Family Violence,2021,Q1,0,0.0
Belconnen,Aranda,Assault,2021,Q1,1,0.3871467286101432
Belconnen,Aranda,Sexual Assault,2021,Q1,0,0.0
Belconnen,Aranda,Property Damage,2021,Q1,2,0.7742934572202864
Belconnen,Aranda,Other,2021,Q1,26,10.065814943863723
Belconnen,Aranda,CINs,2021,Q1,0,0.0
Belconnen,Aranda,Homicide,2021,Q2,0,0.0
Belconnen,Aranda,Family Violence,2021,Q2,0,0.0
Belconnen,Aranda,Assault,2021,Q2,0,0.0
Belconnen,Aranda,Sexual Assault,2021,Q2,2,0.7742934572202864
Belconnen,Aranda,Property Damage,2021,Q2,1,0.3871467286101432
Belconnen,Aranda,Other,2021,Q2,18,6.968641114982578
Belconnen,Aranda,CINs,2021,Q2,0,0.0
Belconnen,Aranda,Homicide,2021,Q3,0,0.0
Belconnen,Aranda,Family Violence,2021,Q3,0,0.0
Belconnen,Aranda,Assault,2021,Q3,2,0.7742934572202864
Belconnen,Aranda,Sexual Assault,2021,Q3,0,0.0
Belconnen,Aranda,Property Damage,2021,Q3,7,2.7100271002710024
Belconnen,Aranda,Other,2021,Q3,27,10.452961672473867
Belconnen,Aranda,CINs,2021,Q3,0,0.0
Belconnen,Aranda,Homicide,2021,Q4,0,0.0
Belconnen,Aranda,Family Violence,2021,Q4,0,0.0
Belconnen,Aranda,Assault,2021,Q4,0,0.0
Belconnen,Aranda,Sexual Assault,2021,Q4,1,0.3871467286101432
Belconnen,Aranda,Property Damage,2021,Q4,4,1.5485869144405728
Belconnen,Aranda,Other,2021,Q4,18,6.968641114982578
Belconnen,Aranda,CINs,2021,Q4,0,0.0
Belconnen,Aranda,Burglary,2021,Q1,5,1.9357336430507162
Belconnen,Aranda,Burglary,2021,Q2,1,0.3871467286101432
Belconnen,Aranda,Burglary,2021,Q3,15,5.807200929152148
Belconnen,Aranda,Burglary,2021,Q4,5,1.9357336430507162
Belconnen,Aranda,Robbery,2021,Q1,0,0.0
Belconnen,Aranda,Robbery,2021,Q2,0,0.0
Belconnen,Aranda,Robbery,2021,Q3,0,0.0
Belconnen,Aranda,Robbery,2021,Q4,0,0.0
Belconnen,Aranda,Theft,2021,Q1,6,2.3228803716608595
Belconnen,Aranda,Theft,2021,Q2,9,3.484320557491289
Belconnen,Aranda,Theft,2021,Q3,34,13.16298877274487
Belconnen,Aranda,Theft,2021,Q4,13,5.032907471931861
Belconnen,Aranda,Other,2021,Q1,26,10.065814943863723
Belconnen,Aranda,Other,2021,Q2,18,6.968641114982578
Belconnen,Aranda,Other,2021,Q3,27,10.452961672473867
Belconnen,Aranda,Other,2021,Q4,18,6.968641114982578
Belconnen,Aranda,TINs,2021,Q1,116,44.909020518776614
Belconnen,Aranda,TINs,2021,Q2,130,50.32907471931862
Belconnen,Aranda,TINs,2021,Q3,47,18.19589624467673
Belconnen,Aranda,TINs,2021,Q4,107,41.42469996128533
Belconnen,Aranda,Homicide,2022,Q1,0,0.0
Belconnen,Aranda,Family Violence,2022,Q1,0,0.0
Belconnen,Aranda,Assault,2022,Q1,0,0.0
Belconnen,Aranda,Sexual Assault,2022,Q1,0,0.0
Belconnen,Aranda,Property Damage,2022,Q1,5,1.939487975174554
Belconnen,Aranda,Other,2022,Q1,14,5.430566330488752
Belconnen,Aranda,CINs,2022,Q1,0,0.0
Belconnen,Aranda,Homicide,2022,Q2,0,0.0
Belconnen,Aranda,Family Violence,2022,Q2,2,0.7757951900698216
Belconnen,Aranda,Assault,2022,Q2,2,0.7757951900698216
Belconnen,Aranda,Sexual Assault,2022,Q2,0,0.0
Belconnen,Aranda,Property Damage,2022,Q2,3,1.1636927851047325
Belconnen,Aranda,Other,2022,Q2,35,13.576415826221877
Belconnen,Aranda,CINs,2022,Q2,0,0.0
Belconnen,Aranda,Homicide,2022,Q3,0,0.0
Belconnen,Aranda,Family Violence,2022,Q3,2,0.7757951900698216
Belconnen,Aranda,Assault,2022,Q3,1,0.3878975950349108
Belconnen,Aranda,Sexual Assault,2022,Q3,2,0.7757951900698216
Belconnen,Aranda,Property Damage,2022,Q3,3,1.1636927851047325
Belconnen,Aranda,Other,2022,Q3,23,8.92164468580295
Belconnen,Aranda,CINs,2022,Q3,0,0.0
Belconnen,Aranda,Homicide,2022,Q4,0,0.0
Belconnen,Aranda,Family Violence,2022,Q4,0,0.0
Belconnen,Aranda,Assault,2022,Q4,0,0.0
Belconnen,Aranda,Sexual Assault,2022,Q4,1,0.3878975950349108
Belconnen,Aranda,Property Damage,2022,Q4,2,0.7757951900698216
Belconnen,Aranda,Other,2022,Q4,25,9.697439875872771
Belconnen,Aranda,CINs,2022,Q4,0,0.0
Belconnen,Aranda,Burglary,2022,Q1,7,2.715283165244376
Belconnen,Aranda,Burglary,2022,Q2,5,1.939487975174554
Belconnen,Aranda,Burglary,2022,Q3,2,0.7757951900698216
Belconnen,Aranda,Burglary,2022,Q4,2,0.7757951900698216
Belconnen,Aranda,Robbery,2022,Q1,1,0.3878975950349108
Belconnen,Aranda,Robbery,2022,Q2,0,0.0
Belconnen,Aranda,Robbery,2022,Q3,0,0.0
Belconnen,Aranda,Robbery,2022,Q4,0,0.0
Belconnen,Aranda,Theft,2022,Q1,16,6.2063615205585725
Belconnen,Aranda,Theft,2022,Q2,6,2.327385570209465
Belconnen,Aranda,Theft,2022,Q3,6,2.327385570209465
Belconnen,Aranda,Theft,2022,Q4,3,1.1636927851047325
Belconnen,Aranda,Other,2022,Q1,14,5.430566330488752
Belconnen,Aranda,Other,2022,Q2,35,13.576415826221877
Belconnen,Aranda,Other,2022,Q3,23,8.92164468580295
Belconnen,Aranda,Other,2022,Q4,25,9.697439875872771
Belconnen,Aranda,TINs,2022,Q1,47,18.23118696664081
Belconnen,Aranda,TINs,2022,Q2,58,22.49806051202483
Belconnen,Aranda,TINs,2022,Q3,84,32.58339798293251
Belconnen,Aranda,TINs,2022,Q4,57,22.110162916989918
Belconnen,Aranda,Homicide,2023,Q1,0,0.0
Belconnen,Aranda,Family Violence,2023,Q1,0,0.0
Belconnen,Aranda,Assault,2023,Q1,1,0.3844675124951942
Belconnen,Aranda,Sexual Assault,2023,Q1,3,1.1534025374855825
Belconnen,Aranda,Property Damage,2023,Q1,3,1.1534025374855825
Belconnen,Aranda,Other,2023,Q1,6,2.306805074971165
Belconnen,Aranda,CINs,2023,Q1,0,0.0
Belconnen,Aranda,Homicide,2023,Q2,0,0.0
Belconnen,Aranda,Family Violence,2023,Q2,0,0.0
Belconnen,Aranda,Assault,2023,Q2,2,0.7689350249903883
Belconnen,Aranda,Sexual Assault,2023,Q2,0,0.0
